date,time,connection,download
2019-08-25,21:02:57,0.4680,176.3271
2019-08-25,21:32:37,0.4836,156.5151
2019-08-25,22:01:08,0.4680,67.0801
2019-08-25,22:32:01,0.4524,119.8706
2019-08-25,23:03:29,1.4664,206.8876
2019-08-25,23:31:51,0.4524,110.2298
2019-08-26,00:01:12,0.4524,70.7929
2019-08-26,00:30:46,0.4680,45.4429
2019-08-26,01:01:19,3.6036,68.4061
2019-08-26,01:31:03,0.4524,61.4485
2019-08-26,02:00:49,0.4680,47.7517
2019-08-26,02:30:49,0.4524,47.7361
2019-08-26,03:01:23,0.4368,81.9001
2019-08-26,03:30:47,0.4680,46.3633
2019-08-26,04:00:45,0.4368,44.4913
2019-08-26,04:30:49,0.9048,44.8657
2019-08-26,05:01:54,1.4352,111.8522
2019-08-26,05:30:49,0.4992,47.4865
2019-08-26,06:02:44,0.4368,162.5367
2019-08-26,06:30:47,0.4836,46.0825
2019-08-26,07:00:47,0.4524,45.5989
2019-08-26,07:31:00,0.4680,58.6249
2019-08-26,08:01:08,0.4836,66.8305
2019-08-26,08:31:54,0.4836,112.8818
2019-08-26,09:02:12,0.7020,131.1494
2019-08-26,09:31:45,0.4992,103.8338
2019-08-26,10:02:22,0.4524,141.1022
2019-08-26,10:30:59,0.4680,58.1881
2019-08-26,11:01:43,3.4476,98.8730
2019-08-26,11:31:17,10.3896,65.7229
2019-08-26,12:00:49,0.4836,47.9077
2019-08-26,12:30:52,0.4836,51.1057
2019-08-26,13:01:46,0.4680,104.5826
2019-08-26,13:31:15,0.4836,73.8193
2019-08-26,14:02:43,0.4524,162.4275
2019-08-26,14:32:21,0.4680,139.6670
2019-08-26,15:00:57,0.4368,56.2069
2019-08-26,15:33:34,0.5616,212.7220
2019-08-26,16:01:37,0.4836,95.8934
2019-08-26,16:31:48,0.4992,106.5950
2019-08-26,17:01:52,0.4992,110.5730
2019-08-26,17:32:45,0.4836,163.9719
2019-08-26,18:01:17,0.4992,76.1749
2019-08-26,18:32:03,3.4476,119.0438
2019-08-26,19:01:03,0.4524,61.8853
2019-08-26,19:31:04,0.4836,62.8525
2019-08-26,20:00:57,0.4524,56.4409
2019-08-26,20:30:59,0.5304,58.2193
2019-08-26,21:02:15,0.4680,133.6454
2019-08-26,21:31:24,0.4836,82.7113
2019-08-26,22:00:51,0.4680,50.5753
2019-08-26,22:31:16,0.5772,75.0049
2019-08-26,23:00:58,0.4680,57.0181
2019-08-26,23:31:26,0.4836,84.6145
2019-08-27,00:00:54,0.4680,52.7905
2019-08-27,00:31:08,0.4836,65.2393
2019-08-27,01:00:59,0.4524,57.7045
2019-08-27,01:30:49,0.7020,47.8609
